GroupName,ShortTitle,FullTitle,URL,IsPublic
実況,ASAS,アジア地上解析図,https://www.data.jma.go.jp/fcd/yoho/data/wxchart/quick/202208/ASAS_COLOR_202208251200.svgz?sanitize=true,true
実況,ASAS 過去,アジア地上解析図過去,https://www.data.jma.go.jp/fcd/yoho/wxchart/quickmonthly.html,true
実況,,High Level Siginificant Weather Charts,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_m.gif,true
実況,,日本周辺気圧配置図＆降水,https://www.tropicaltidbits.com/analysis/models/?model=gfs&region=wpac&pkg=mslp_pcpn&fh=6,false
実況,AUXN50,北半球500hPa高度・気温,https://n-kishou.com/ee/exp/exp01.html?cd=auxn50,false
実況,AXFE578,極東850hPa気温・風/700hPa上昇流/500hPa高度・渦度,https://n-kishou.com/ee/exp/exp01.html?cd=axfe578,false
数値天気予報図,,アジア地上気圧、850hPa気温／500hPa高度・渦度予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/feas502_12.pdf,true
数値天気予報図,,[00UTC]アジア太平洋250hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa252_00.pdf,true
数値天気予報図,,[00UTC]アジア太平洋300hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa302_00.pdf,true
数値天気予報図,,[00UTC]アジア太平洋400hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa402_00.pdf,true
数値天気予報図,,[00UTC]アジア太平洋500hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa502_00.pdf,true
数値天気予報図,,[00UTC]極東850hPa気温・風、700hPa上昇流／700hPa湿数、500hPa気温予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxfe5782_00.pdf,true
数値天気予報図,,[00UTC]極東地上気圧・風・降水量／500hPa高度・渦度予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxfe502_00.pdf,true
数値天気予報図,,[00UTC]日本850hPa相当温位・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxjp854_00.pdf,true
数値天気予報図,,[12UTC]アジア太平洋250hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa252_12.pdf,true
数値天気予報図,,[12UTC]アジア太平洋300hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa302_12.pdf,true
数値天気予報図,,[12UTC]アジア太平洋400hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa402_12.pdf,true
数値天気予報図,,[12UTC]アジア太平洋500hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa502_12.pdf,true
数値天気予報図,,[12UTC]極東850hPa気温・風、700hPa上昇流／700hPa湿数、500hPa気温予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxfe5782_12.pdf,true
数値天気予報図,,[12UTC]極東地上気圧・風・降水量／500hPa高度・渦度予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxfe502_12.pdf,true
数値天気予報図,,[12UTC]日本850hPa相当温位・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxjp854_12.pdf,true
FXFE,,FXFE572/FXFE782 [00UTC],https://www.jma.go.jp/jmh/wmapimgs/fxfe57782_00_large.png,true
FXFE,,FXFE572/FXFE782[12UTC],https://www.jma.go.jp/jmh/wmapimgs/fxfe57782_12_large.png,true
高層天気図,AUXN50 [12UTC],北半球500hPa高度・気温天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/auxn50_12.pdf,true
高層天気図,FEAS50 [12UTC],アジア地上気圧、850hPa気温／500hPa高度・渦度天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/feas50_12.pdf,true
高層天気図,AUPA20 [00UTC],アジア太平洋200hPa高度・気温・風・圏界面天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupa20_00.pdf,true
高層天気図,AUPA25 [00UTC],アジア太平洋250hPa高度・気温・風天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupa25_00.pdf,true
高層天気図,AUPN30 [00UTC],北太平洋300hPa高度・気温・風天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupn30_00.pdf,true
高層天気図,AUPQ35 [00UTC],アジア500hPa・300hPa高度・気温・風・等風速線天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupq35_00.pdf,true
高層天気図,AUPQ78 [00UTC],アジア850hPa・700hPa高度・気温・風・湿数天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupq78_00.pdf,true
高層天気図,AXFE578 [00UTC],極東850hPa気温・風、700hPa上昇流／500hPa高度・渦度天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/axfe578_00.pdf,true
高層天気図,AXJP140 [00UTC],高層断面図（風・気温・露点等）東経130度／140度解析,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/axjp140_00.pdff,true
高層天気図,AUPA20 [12UTC],アジア太平洋200hPa高度・気温・風・圏界面天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupa20_12.pdf,true
高層天気図,AUPA25 [12UTC],アジア太平洋250hPa高度・気温・風天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupa25_12.pdf,true
高層天気図,AUPN30 [12UTC],北太平洋300hPa高度・気温・風天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupn30_12.pdf,true
高層天気図,AUPQ35 [12UTC],アジア500hPa・300hPa高度・気温・風・等風速線天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupq35_12.pdf,true
高層天気図,AUPQ78 [12UTC],アジア850hPa・700hPa高度・気温・風・湿数天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupq78_12.pdf,true
高層天気図,AXFE578 [12UTC],極東850hPa気温・風、700hPa上昇流／500hPa高度・渦度天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/axfe578_12.pdf,true
高層天気図,AXJP140 [12UTC],高層断面図（風・気温・露点等）東経130度／140度解析,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/axjp140_12.pdf,true
空域の情報,,国内悪天予想図,https://www.data.jma.go.jp/airinfo/data/awfo_fbjp.html#contents_area2,true
空域の情報,,国内悪天12時間予想図,https://www.data.jma.go.jp/airinfo/awfo_fbjp112/awfo_fbjp112.html,true
空域の情報,,下層悪天予想図,https://www.data.jma.go.jp/airinfo/data/awfo_low-level_sigwx.html#contents_area2,true
空域の情報,,下層悪天予想図（詳細版）,https://www.data.jma.go.jp/airinfo/data/awfo_low-level_detailed-sigwx.html,true
空域の情報,,シグメット情報,https://www.data.jma.go.jp/airinfo/data/awfo_sigmet.html#contents_area2,true
空域の情報,,全国航空気象解説報(福岡FIR),https://www.data.jma.go.jp/airinfo/data/awfo_ajpn_cmnt_fukuokafir.html#contents_area2,true
空域の情報,,全国航空気象解説報(国内空域),https://www.data.jma.go.jp/airinfo/data/awfo_ajpn_cmnt_airspace.html#contents_area2,true
SSI,,SSI,http://weather-gpv.info/,true
SSI,,不安定度,https://www.tono2.net/stab/,false
解析情報,,雷監視システム,https://www.jma.go.jp/bosai/nowc/#lat:34.016242/lon:134.978027/zoom:5/colordepth:normal/elements:hrpns&slmcs,true
解析情報,,雷発生確率,http://www.imocwx.com/guid.php?Type=3,false
解析情報,,積乱雲情報,https://www.data.jma.go.jp/omaad/aviation/jp/cci/#zoom:6/lat:28.052591/lon:136.999512/colordepth:normal/elements:cci,true
解析情報,,毎時大気解析,https://www.data.jma.go.jp/airinfo/data/awfo_maiji.html#contents_area2,true
解析情報,,ウィンドプロファイラ,https://www.jma.go.jp/bosai/map.html#5/34.5/137/&contents=windprofiler,true
解析情報,,気象衛星霧プロダクト,https://www.data.jma.go.jp/omaad/aviation/jp/fog/#zoom:6/lat:28.052591/lon:137.010498/colordepth:normal/elements:fog,true
解析情報,,積乱雲情報,https://www.data.jma.go.jp/omaad/aviation/jp/cci/#zoom:6/lat:28.052591/lon:135.252686/colordepth:normal/elements:cci,true
衛星画像,,日本全国の赤外線画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=ir&contents=himawari,true
衛星画像,,日本全国の可視画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=vis&contents=himawari,true
衛星画像,,日本全国の水蒸気画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=vap&contents=himawari,true
衛星画像,,トウルーカラー再現画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=color&contents=himawari,true
衛星画像,,雲頂強調画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=strengthen&contents=himawari,true
衛星画像,,全球可視画像,https://www.jma.go.jp/bosai/map.html#5/40.996/135/&elem=s_vis&contents=himawari,true
衛星画像,,全球赤外画像,https://www.jma.go.jp/bosai/map.html#5/40.996/135/&elem=s_ir&contents=himawari,true
衛星画像,,全球水蒸気画像,https://www.jma.go.jp/bosai/map.html#5/40.996/135/&elem=s_vap&contents=himawari,true
衛星画像,,全球トウルーカラー再現画像,https://www.jma.go.jp/bosai/map.html#5/41.02/135.093/&elem=s_color&contents=himawari,true
衛星画像,,雲解析情報,,false
衛星画像,TSAS1,広域雲解析情報図（北半球）,https://n-kishou.com/ee/exp/exp01.html?cd=tsas1&cat=a,false
衛星画像,TSAS2,広域雲解析情報図（南半球）,https://n-kishou.com/ee/exp/exp01.html?cd=tsas2&cat=a,false
衛星画像,HCAI,High-resolution Cloud Analysis Index,https://www.data.jma.go.jp/omaad/rsmc_nowcast/en/hcai/#zoom:3/lat:15.707663/lon:140.097656/colordepth:normal/elements:htc,true
衛星画像,,雲時間変化,http://smilebb5.web.fc2.com/tsas/,false
衛星画像,,気象レーダー,https://n-kishou.com/ee/radar/radar.html,false
アメダス,,10分間降水量,https://www.jma.go.jp/bosai/map.html#5/34.416/141.592/&elem=precipitation10m&contents=amedas&interval=60,true
アメダス,,1時間降水量,https://www.jma.go.jp/bosai/map.html#5/34.47/141.987/&elem=precipitation1h&contents=amedas&interval=60,true
アメダス,,3時間降水量,https://www.jma.go.jp/bosai/map.html#5/34.289/142.207/&elem=precipitation3h&contents=amedas&interval=60,true
アメダス,,24時間,https://www.jma.go.jp/bosai/map.html#5/34.315/142.393/&elem=precipitation24h&contents=amedas&interval=60,true
アメダス,,風向、風速,https://www.jma.go.jp/bosai/map.html#5/34.315/142.393/&elem=wind&contents=amedas&interval=60,true
アメダス,,気温,https://www.jma.go.jp/bosai/map.html#5/34.416/141.592/&elem=temp&contents=amedas&interval=60,true
アメダス,,日照時間,https://www.jma.go.jp/bosai/map.html#5/34.315/142.393/&elem=sun1h&contents=amedas&interval=60,true
アメダス,,湿度,https://www.jma.go.jp/bosai/map.html#5/34.315/142.393/&elem=humidity&contents=amedas&interval=60,true
空港の情報,,空港の予報,https://www.data.jma.go.jp/airinfo/data/awfo_taf.html#contents_area2,true
空港の情報,,飛行場気象解説情報,https://www.data.jma.go.jp/airinfo/data/awfo_comment.html#contents_area2,true
空港の情報,,全国航空気象解説報,https://www.data.jma.go.jp/airinfo/data/awfo_ajpn_cmnt_aerodrome.html#contents_area2,true
空港の情報,,飛行場気象警報,https://www.sunny-spot.net/kukou/,false
空港の情報,,国内航空路予想断面図,https://n-kishou.com/ee/exp/exp01.html?cd=fxjp106&cat=a,false
降灰予想,,航空路火山灰情報,https://ds.data.jma.go.jp/svd/vaac/data/vaac_listj.html,true
降灰予想,,火山灰拡散予測図,,false
降灰予想,,火山実況図,,false
降灰予想,,狭域拡散予測図,,false
降灰予想,,定時拡散予測図,,false
降灰予想,,定時拡散予測図,,false
降灰予想,,降灰予報（速報）,,false
降灰予想,,降灰予報（詳細）,,false
降灰予想,,降灰予報（定時）,,false
降灰予想,,火山監視カメラ画像,https://www.data.jma.go.jp/svd/vois/data/tokyo/volcam/volcam.php,true
降灰予想,,気象庁火山情報,https://www.data.jma.go.jp/svd/vois/data/tokyo/volcano.html,true
降灰予想,,降灰予想,https://www.jma.go.jp/bosai/map.html#contents=ashfall,true
降灰予想,,噴煙方向,https://ds.data.jma.go.jp/svd/vaac/data/VAGFNR/html/VAAC_QH25.html,true
降灰予想,,桜島（通常のカメラ）,https://373news.com/_sakucap/,false
降灰予想,,桜島噴煙状況,http://www.qsr.mlit.go.jp/osumi/bousai/top.html,true
降灰予想,,阿蘇山ライブカメラ,http://w3.vgs.kyoto-u.ac.jp/camera/index.html,false
降灰予想,,阿蘇山火山噴火／爆発情報および地上・上空風向きマップ,http://agora.ex.nii.ac.jp/eruption/volcano/asosan/,false
降灰予想,,桜島火山噴火／爆発情報および地上・上空風向きマップ,http://agora.ex.nii.ac.jp/eruption/volcano/sakurajima/,false
週間,FXXN519,週間予報支援図,https://n-kishou.com/ee/exp/exp01.html?cd=fxxn519&amp;cat=e3,false
週間,FZCX50,週間予報支援図（アンサンブル）,https://n-kishou.com/ee/exp/exp01.html?cd=fzcx50&amp;cat=e3,false
週間,FEFE19,週間アンサンブル予想図,https://n-kishou.com/ee/exp/exp01.html?cd=fefe19&amp;cat=e3,false
エマグラム,,北アメリカ,http://weather.uwyo.edu/upperair/naconf.html,false
エマグラム,,(University of wayoming)南アメリカ,http://weather.uwyo.edu/upperair/samer.html,false
エマグラム,,(University of wayoming)南太平洋,http://weather.uwyo.edu/upperair/pac.html,false
エマグラム,,(University of wayoming)ニュージーランド,http://weather.uwyo.edu/upperair/nz.html,false
エマグラム,,(University of wayoming)南極,http://weather.uwyo.edu/upperair/ant.html,false
エマグラム,,(University of wayoming)北極,http://weather.uwyo.edu/upperair/np.html,false
エマグラム,,(University of wayoming)ヨーロッパ,http://weather.uwyo.edu/upperair/europe.html,false
エマグラム,,(University of wayoming)アフリカ,http://weather.uwyo.edu/upperair/africa.html,false
エマグラム,,(University of wayoming)中央アジア,http://weather.uwyo.edu/upperair/africa.html,false
エマグラム,,(University of wayoming)南東アジア,http://weather.uwyo.edu/upperair/seasia.html,false
エマグラム,,(SunnySpot)全国,https://www.sunny-spot.net/emagram/index.html?area=0,false
エマグラム,,(SunnySpot)北海道,https://www.sunny-spot.net/emagram/index.html?area=1,false
エマグラム,,(SunnySpot)東北,https://www.sunny-spot.net/emagram/index.html?area=2,false
エマグラム,,(SunnySpot)関東甲信,https://www.sunny-spot.net/emagram/index.html?area=3,false
エマグラム,,(SunnySpot)北陸,https://www.sunny-spot.net/emagram/index.html?area=4,false
エマグラム,,(SunnySpot)東海,https://www.sunny-spot.net/emagram/index.html?area=5,false
エマグラム,,(SunnySpot)近畿,https://www.sunny-spot.net/emagram/index.html?area=6,false
エマグラム,,(SunnySpot)中国,https://www.sunny-spot.net/emagram/index.html?area=7,false
エマグラム,,(SunnySpot)四国,https://www.sunny-spot.net/emagram/index.html?area=8,false
エマグラム,,(SunnySpot)九州北部,https://www.sunny-spot.net/emagram/index.html?area=9,false
エマグラム,,(SunnySpot)九州南部,https://www.sunny-spot.net/emagram/index.html?area=10,false
エマグラム,,(SunnySpot)南西諸島,https://www.sunny-spot.net/emagram/index.html?area=11,false
エマグラム,,(Skew-T)エマグラム ,https://www.tono2.net/skew/,false
風情報,,Windy,"https://www.windy.com/?34.398,132.452,5",false
雷情報,,東京電力雷情報,https://thunder.tepco.co.jp/index.html,false
雷情報,,東北電力雷情報,https://nw.tohoku-epco.co.jp/thunderbolt/,false
雷情報,,北陸電力雷情報中部電力雷情報,https://www.rikuden.co.jp/kaminari/,false
雷情報,,関西地方降雨情報,https://tenki.jp/radar/3/,false
雷情報,,中国地方雷情報,https://tenki.jp/thunder/7/,false
雷情報,,九州電力雷情報,https://tenki.jp/thunder/9/,false
アジア乱気流マップ,,(12h)FL400,,false
アジア乱気流マップ,,(12h)FL390,,false
アジア乱気流マップ,,(12h)FL380,,false
アジア乱気流マップ,,(12h)FL370,,false
アジア乱気流マップ,,(12h)FL360,,false
アジア乱気流マップ,,(12h)FL350,,false
アジア乱気流マップ,,(12h)FL340,,false
アジア乱気流マップ,,(12h)FL330,,false
アジア乱気流マップ,,(12h)FL320,,false
アジア乱気流マップ,,(12h)FL310,,false
アジア乱気流マップ,,(12h)FL300,,false
アジア乱気流マップ,,(12h)FL400-450,,false
アジア乱気流マップ,,(12h)FL350-400,,false
アジア乱気流マップ,,(12h)FL300-350,,false
アジア乱気流マップ,,(12h)FL250-300,,false
アジア乱気流マップ,,(12h)FL200-250,,false
アジア乱気流マップ,,(18h)FL200-250,,false
アジア乱気流マップ,,(18h)FL250-300,,false
アジア乱気流マップ,,(18h)FL300-350,,false
アジア乱気流マップ,,(18h)FL350-400,,false
アジア乱気流マップ,,(18h)FL400-450,,false
アジア乱気流マップ,,(24h)FL200-250,,false
アジア乱気流マップ,,(24h)FL250-300,,false
アジア乱気流マップ,,(24h)FL300-350,,false
アジア乱気流マップ,,(24h)FL350-400,,false
アジア乱気流マップ,,(24h)FL400-450,,false
大気追跡風,,大気追跡風,https://www.data.jma.go.jp/mscweb/en/product/aswind_fn.php,true
空港の情報,SNOWTAM,滑走路面状態,https://ok0358.com/snowtam/index.php,false
PM2.5情報,,PM2.5拡散予想,https://www.tono2.net/skew/,false
PM2.5情報,,PM2.5長期予想,https://venus.nies.go.jp/,true
黄砂解析予測図,,大気中の黄砂の総量,https://www.data.jma.go.jp/gmd/env/kosa/fcst/fcst-c_jp.html,true
ライブカメラ,,各地のライブカメラ,http://weather.jal.co.jp/livecam/index.html,false
ライブカメラ,RJCW,稚内市内,http://www.stv.jp/webcam/wakkanai/index.html,false
ライブカメラ,RJEC,旭川市内,http://www.stv.jp/webcam/asahikawa/index.html,false
ライブカメラ,RJCH,函館山,http://www.stv.jp/webcam/asahikawa/index.html,false
ライブカメラ,RJCK,釧路空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000164,false
ライブカメラ,RJCC,新千歳空港,http://www.stv.jp/webcam/shinchitose/index.html,false
ライブカメラ,RJCC（滑走路側）,新千歳空港（滑走路側）,http://www.stv.jp/webcam/shinchitose2/index.html,false
ライブカメラ,RJCC2,新千歳空港,http://www.hbc.jp/info-cam/shinchitose.html,false
ライブカメラ,RJSA,青森空港,http://www.pref.aomori.lg.jp/soshiki/kendo/airport/APwebcam.html,false
ライブカメラ,RJSM,三沢飛行場,http://www.misawa-airport.co.jp/livecamera2/,false
ライブカメラ,RJSK,秋田空港,http://www.akita-airport.com/front/livecamera,false
ライブカメラ,RJSY,庄内空港,http://www.shonai-airport.co.jp/flight_info/live_view/,false
ライブカメラ,RJSF,福島空港,http://www.pref.fukushima.jp/kukouoffice/infomation.HTM,false
ライブカメラ,RJTT1,羽田空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000160,false
ライブカメラ,RJTT2,羽田空港,http://www.aeif.or.jp/haneda/live_camera/,false
ライブカメラ,RJAA1,成田空港,http://www.ustream.tv/channel/narita-live-asahi-north-camera,false
ライブカメラ,RJAA2,成田空港,http://www.ustream.tv/channel/narita-asahi-south-camera#utm_campaign=unknown&utm_source=11865965&utm_medium=social,false
ライブカメラ,RJNT,富山空港,https://www.hrr.mlit.go.jp/bosai/img/751042.jpg,true
ライブカメラ,RJNK,小松飛行場,http://www.live.citykomatsu.jp/webcamera/kanko/public.html,false
ライブカメラ,RJGG(周辺),中部空港(周辺),http://www.onizaki-yc.com:8080/viewer/live/ja/live.html,false
ライブカメラ,RJOO,伊丹空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000153,false
ライブカメラ,RJBB,関西空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000158,false
ライブカメラ,RJBT,但馬空港,http://www.tajima-airport.jp/livecamera/,false
ライブカメラ,RJOA,広島空港,https://webcam.wni.co.jp/GZW22253/loop.html,false
ライブカメラ,RJOC,出雲空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000169,false
ライブカメラ,RJOK,高知空港,http://sky.kochi-ct.jp/,false
ライブカメラ,RJFF,福岡空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000155,false
ライブカメラ,RJFO,大分空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000168,false
ライブカメラ,RJFT,熊本空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000175,false
ライブカメラ,RJFM,宮崎空港,http://www.kouku-dai.ac.jp/liveimage/,false
ライブカメラ,RJFK,鹿児島空港,http://koj-ab.co.jp/relax-and-enjoy/livecam.html,false
ライブカメラ,,鹿児島各地,http://www.mbc.co.jp/web-cam/,false
ライブカメラ,,桜島,https://s3-ap-northeast-1.amazonaws.com/idea.bioweather.camera/kazan/sakurajima_now.jpg,false
ライブカメラ,,桜島赤外,http://www.qsr.mlit.go.jp/osumi/bousai/top.html?gmn=mapSK2,true
ライブカメラ,ROAH,那覇空港,http://weather.jal.co.jp/livecam/spot.html?camid=410000154,false
東アジア,,東南アジア可視,https://www.data.jma.go.jp/mscweb/data/himawari/sat_hrp.php?area=r2s,true
東アジア,,東南アジア赤外,https://www.data.jma.go.jp/mscweb/data/himawari/sat_hrp.php?area=r2s,true
東アジア,,東南アジア水蒸気,http://en.allmetsat.com/images/met5_cimss_wv-large.php,false
東アジア,,東南アジア赤外+可視,https://www.data.jma.go.jp/mscweb/data/himawari/sat_hrp.php?area=r2s,true
東アジア,,フィリピン時間変化,https://www.tono2.net/sat/irv/phi/,false
東アジア,,インドシナ時間変化,https://www.tono2.net/sat/irv/indochine/,false
東アジア,,カリマンタン時間変化,https://www.tono2.net/sat/irv/kalimantan/,false
東アジア,【PGGE】Ｅ領域,アジア、オーストラリア２４時間予想図,,false
東アジア,,東南アジア雲頂温度,http://www.cpc.ncep.noaa.gov/products/international/easia/irloop_sea.html,true
東アジア,,時間変化,https://www.tono2.net/sat/uncho/north,false
東アジア,,大気追跡風,https://www.data.jma.go.jp/mscweb/en/product/aswind_fn.php,true
SIGチャート２４時間予想図,【PGBE】Ｉ領域,北太平洋,http://aviationweather.gov/data/iffdp/2133.gif,true
SIGチャート２４時間予想図,【PGCE】Ｇ領域,ヨーロッパ、アジア,http://aviationweather.gov/data/iffdp/2107.gif,true
SIGチャート２４時間予想図,【PGDE】Ｍ領域,太平洋,http://aviationweather.gov/data/iffdp/2128.gif,true
SIGチャート２４時間予想図,【PGEE】Ａ領域,アメリカ,http://aviationweather.gov/data/iffdp/2129.gif,true
SIGチャート２４時間予想図,【PGGE】Ｅ領域,アジア、オーストラリア,http://aviationweather.gov/data/iffdp/2106.gif,true
SIGチャート２４時間予想図,【PGGE】Ｆ領域,太平洋,http://aviationweather.gov/data/iffdp/2131.gif,true
SIGチャート２４時間予想図,【PGZE】Ｄ領域,ヨーロッパ、中央アジア,http://aviationweather.gov/data/iffdp/2105.gif,true
SIGチャート２４時間予想図,,SIGWXCHARTS,http://www.bom.gov.au/aviation/charts/sigwx/,false
台風予想,,米国 TYPHOON予想,https://www.metoc.navy.mil/jtwc/jtwc.html,true
AWC,North Polar Stereographic,ICAO Area H Color,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_h.gif,true
AWC,North Polar Stereographic,ICAO Area H B&W,https://www.aviationweather.gov/data/products/fax/20220825/20220825_0600_F24_sigwx_hi_h.gif,true
AWC,North Polar Stereographic,ICAO Area I Color,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_i.gif,true
AWC,North Polar Stereographic,ICAO Area I B&W,https://www.aviationweather.gov/data/products/fax/20220825/20220825_0600_F24_sigwx_hi_i.gif,true
AWC,Central Mercator,ICAO Area A Color,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_a.gif,true
AWC,Central Mercator,ICAO Area A B&W,https://www.aviationweather.gov/data/products/fax/20220825/20220825_0600_F24_sigwx_hi_a.gif,true
AWC,Central Mercator,ICAO Area B1 Color,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_b1.gif,true
AWC,Central Mercator,ICAO Area B1 B&W,https://www.aviationweather.gov/data/products/fax/20220825/20220825_0600_F24_sigwx_hi_b1.gif,true
AWC,Central Mercator,ICAO Area F Color,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_f.gif,true
AWC,Central Mercator,ICAO Area F B&W,https://www.aviationweather.gov/data/products/fax/20220825/20220825_0600_F24_sigwx_hi_f.gif,true
AWC,Central Mercator,ICAO Area M Color,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_m.gif,true
AWC,Central Mercator,ICAO Area M B&W,https://www.aviationweather.gov/data/products/fax/20220825/20220825_0600_F24_sigwx_hi_m.gif,true
AWC,South Polar Stereographic,ICAO Area J Color,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_j.gif,true
AWC,South Polar Stereographic,ICAO Area J B&W,https://www.aviationweather.gov/data/products/fax/20220825/20220825_0600_F24_sigwx_hi_j.gif,true
AWC,,Unofficial World Area Forecast System Display,https://www.aviationweather.gov/wafs,true
